,Average Maximum Temperature,Average Minimum Temperature,Mean Temperature,Highest Temperature,Lowest Temperature
Source: Met Eireann.,,,,,
2015,12.7,7.2,10,18,2.2
2015,14.7,9.6,12.2,18.3,5.2
2015,16.4,11.2,13.8,22.8,7.6
2015,16.1,11.5,13.8,19.1,8.2
2015,15.7,10.2,13,20.1,6.2
2015,14.5,8.6,11.5,18.6,3
2015,12.1,7.4,9.7,14.8,3
2015,10.9,6,8.4,14.2,0.7
2016,8.8,4.1,6.5,13.1,-0.7
2016,8.6,2.8,5.7,11.5,-1.3
2016,10.4,5.1,7.7,15.5,0.6
2016,11,5,8,15.9,-0.1
2016,15.5,8.4,12,25.4,2.9
2016,17.6,12.1,14.9,23.1,9
2016,16.9,12.1,14.5,25,9.3
2016,17.8,13.2,15.5,23.2,9.6
2016,16.4,12,14.2,19.6,7.6
2016,14,8.2,11.1,17.5,1.4
2016,10.1,4.9,7.5,13.1,-2.8
2016,10.6,6.3,8.5,13.8,-0.3
2017,9.4,4.8,7.1,11.5,-1.9
2017,9.3,4.9,7.1,11.7,-0.8
2017,11.5,5.6,8.5,17.9,0.1
2017,12.2,7.6,9.9,15.9,3.2
2017,16.6,8.6,12.6,22.1,3.7
2017,15.6,11.1,13.4,19.6,6.3
2017,17.2,11.5,14.4,24.7,7.8
2017,17,12.1,14.6,18.5,8.5
2017,15.6,10.3,13,18.3,3.8
2017,13.8,9.5,11.7,16.2,3.7
2017,10.5,6.4,8.5,13.7,2.2
2017,9.3,4.9,7.1,13.7,0.2
2018,8.7,3.7,6.2,11.3,-2.5
2018,8,2.4,5.2,10.7,-2.2
2018,8.7,2.5,5.6,13.7,-3.5
2018,11.8,6.1,8.9,15.7,0
2018,15.1,9.4,12.2,24.6,5.2
2018,18.2,11.3,14.8,27.2,6.1
2018,18,12.7,15.4,25.3,8.8
2018,16.7,12.2,14.5,20.4,7.2
2018,14.9,10.2,12.6,17.4,5.4
2018,13,8.8,10.9,19.1,3.2
2018,11,5.8,8.4,15,1
2018,10.2,6.2,8.2,12.7,2
2019,9.1,5.8,7.5,11.5,0.6
2019,11.3,6,8.6,15.6,-0.2
2019,10.5,5.9,8.2,12.8,2.3
2019,13.7,7,10.3,21,1.1
2019,14.6,7.9,11.2,20.4,1.1
2019,15.6,10.1,12.9,22,5.5
2019,18.2,13.2,15.7,22.7,8.4
2019,18,12.9,15.4,23.4,8.6
2019,16.4,11.1,13.8,20.8,6.6
2019,12.9,8.1,10.5,16.2,2.1
2019,9.7,4.9,7.3,12.9,-0.7
2019,9.7,4.9,7.3,13.1,0.7
2020,9.7,5.5,7.6,12.7,-0.8
2020,8.9,3.9,6.4,11,0.7
2020,9.4,4.5,7,11.9,1
2020,13.6,6.5,10.1,19.1,2.3
2020,16,8.7,12.3,25.6,1.1
2020,15.4,10.7,13.1,21.7,6.7
2020,16,11.3,13.6,18.6,6.5
2020,18.3,13,15.7,24.1,10
2020,16.3,10.8,13.6,22.2,3.1
2020,13,7.7,10.3,15.9,5.1
2020,11.3,6.7,9,15.1,2.2
2020,8.7,4.7,6.7,11.4,-1.7
2021,8,3.2,5.6,11.1,-1.1
2021,8.7,4.7,6.7,11.9,-1.1
2021,10.5,5.3,7.9,13.5,0.6
2021,12.5,4.8,8.6,20.6,0.3
2021,13.5,6.3,9.9,18.5,1.1
2021,15.2,10.4,12.8,17.4,5
2021,19.4,13.4,16.4,28.6,10
2021,18.5,12.9,15.7,23.8,8.1
2021,17.1,12.4,14.7,21.6,8.1
2021,14.4,10.1,12.2,16.7,5.7
2021,12,8.1,10.1,14.4,3.9
2021,10,5.2,7.6,14,0.6
2022,10,5.6,7.8,12.4,-0.1
2022,10.1,5.2,7.6,12.5,0.8
2022,12,4.6,8.3,18.3,-1.6
2022,13.3,6.4,9.9,18.2,-0.1
2022,14.8,9.8,12.3,20.3,5.9
2022,16.1,11.1,13.6,20.4,6.6
2022,17.8,12.6,15.2,23.6,9.1
2022,18.8,13.2,16,25.6,7.7
2022,17.4,11.5,14.4,21.6,6.8
2022,14.5,10.3,12.4,16.7,5.9
2022,11.9,7.6,9.8,15.4,2.4
2022,8.3,3.6,5.9,12.1,-2.1
