Year,Month,Max (�C),Min (�C),Ave
1847,3,9.9,1.1,5.5
1847,4,11.4,,11.4
1847,5,18.6,8.3,13.45
1847,6,15.4,6.7,11.05
1847,7,20.8,10.6,15.7
1847,8,19.4,9.4,14.4
1847,9,20.7,12.8,16.75
1847,10,12.5,5.4,8.95
1847,11,15.6,12.2,13.9
1847,12,,4.7,4.7
1848,1,3.9,-1.9,1
1848,2,7.2,5.8,6.5
1848,3,8.5,1.3,4.9
1848,4,10.3,0.0,5.15
1848,5,24.1,12.2,18.15
1848,6,13.9,6.9,10.4
1848,7,17.5,9.4,13.45
1848,8,14.4,8.5,11.45
1848,9,16.0,6.1,11.05
1848,10,4.3,-0.6,1.85
1848,11,12.2,0.8,6.5
1848,12,,-2.1,-2.1
1849,1,10.8,4.6,7.7
1849,2,10.1,2.2,6.15
1849,3,,8.9,8.9
1849,4,7.2,5.8,6.5
1849,5,12.2,7.8,10
1849,6,17.2,10.6,13.9
1849,7,17.8,9.6,13.7
1849,8,16.9,10.4,13.65
1849,9,17.7,5.2,11.45
1849,10,9.9,7.4,8.65
1849,11,8.1,4.7,6.4
1849,12,1.4,-5.0,-1.8
1850,1,8.8,7.8,8.3
1850,2,11.9,5.8,8.85
1850,3,4.0,-2.2,0.9
1850,4,14.2,6.7,10.45
1850,5,8.0,0.3,4.15
1850,6,12.9,7.2,10.05
1850,7,19.4,10.2,14.8
1850,8,13.2,5.8,9.5
1850,9,14.4,3.9,9.15
1850,10,10.8,2.3,6.55
1850,11,11.9,6.6,9.25
1850,12,13.8,9.4,11.6
1851,1,8.6,7.3,7.95
1851,2,6.3,-0.6,2.85
1851,3,9.1,2.9,6
1851,4,10.8,1.9,6.35
1851,5,14.8,8.3,11.55
1851,6,23.3,12.9,18.1
1851,7,19.2,15.0,17.1
1851,8,18.6,10.6,14.6
1851,9,19.2,14.4,16.8
1851,10,11.3,9.7,10.5
1851,11,9.0,5.2,7.1
1851,12,3.4,1.8,2.6
1852,1,9.1,3.9,6.5
1852,2,7.3,2.1,4.7
1852,3,9.8,0.6,5.2
1852,4,11.9,2.2,7.05
1852,5,12.0,9.2,10.6
1852,6,15.3,7.4,11.35
1852,7,19.8,13.8,16.8
1852,8,18.3,13.9,16.1
1852,9,17.2,15.3,16.25
1852,10,12.1,2.4,7.25
1852,11,16.6,10.8,13.7
1852,12,9.4,6.8,8.1
1853,1,,,#DIV/0!
1853,2,,,#DIV/0!
1853,3,,,#DIV/0!
1853,4,,,#DIV/0!
1853,5,,,#DIV/0!
1853,6,,,#DIV/0!
1853,7,,,#DIV/0!
1853,8,,,#DIV/0!
1853,9,,,#DIV/0!
1853,10,,,#DIV/0!
1853,11,,,#DIV/0!
1853,12,,,#DIV/0!
1854,1,,,#DIV/0!
1854,2,,,#DIV/0!
1854,3,,,#DIV/0!
1854,4,,,#DIV/0!
1854,5,,,#DIV/0!
1854,6,,,#DIV/0!
1854,7,,,#DIV/0!
1854,8,,,#DIV/0!
1854,9,,,#DIV/0!
1854,10,,,#DIV/0!
1854,11,,,#DIV/0!
1854,12,,,#DIV/0!
1855,1,,,#DIV/0!
1855,2,4.4,3.0,3.7
1855,3,5.6,-1.9,1.85
1855,4,16.4,4.7,10.55
1855,5,12.1,4.1,8.1
1855,6,16.7,9.8,13.25
1855,7,19.8,13.8,16.8
1855,8,18.3,12.7,15.5
1855,9,16.5,6.7,11.6
1855,10,15.7,9.3,12.5
1855,11,6.7,3.5,5.1
1855,12,8.6,4.9,6.75
1856,1,4.1,-3.3,0.4
1856,2,12.1,2.8,7.45
1856,3,5.8,2.1,3.95
1856,4,11.6,5.7,8.65
1856,5,15.8,8.9,12.35
1856,6,11.2,7.2,9.2
1856,7,16.4,10.4,13.4
1856,8,25.1,14.3,19.7
1856,9,14.2,7.3,10.75
1856,10,14.6,11.3,12.95
1856,11,8.8,3.3,6.05
1856,12,9.8,7.1,8.45
1857,1,4.4,1.4,2.9
1857,2,6.5,1.3,3.9
1857,3,9.8,0.2,5
1857,4,7.9,5.8,6.85
1857,5,18.3,9.7,14
1857,6,15.4,8.8,12.1
1857,7,18.8,14.7,16.75
1857,8,20.3,8.2,14.25
1857,9,17.8,6.6,12.2
1857,10,15.3,13.3,14.3
1857,11,9.4,5.6,7.5
1857,12,12.2,8.6,10.4
1858,1,3.2,-0.9,1.15
1858,2,3.4,-3.1,0.15
1858,3,15.3,1.3,8.3
1858,4,10.1,-0.9,4.6
1858,5,12.8,7.6,10.2
1858,6,21.1,12.3,16.7
1858,7,19.4,10.7,15.05
1858,8,16.2,12.1,14.15
1858,9,13.3,10.1,11.7
1858,10,11.7,2.6,7.15
1858,11,11.1,3.9,7.5
1858,12,12.8,5.5,9.15
1859,1,8.6,5.3,6.95
1859,2,12.1,2.3,7.2
1859,3,13.3,8.1,10.7
1859,4,8.6,0.4,4.5
1859,5,15.4,5.3,10.35
1859,6,16.6,7.2,11.9
1859,7,21.5,15.3,18.4
1859,8,19.0,8.3,13.65
1859,9,15.7,4.7,10.2
1859,10,16.5,7.8,12.15
1859,11,10.4,2.7,6.55
1859,12,9.8,2.8,6.3
1860,1,5.9,2.2,4.05
1860,2,9.0,4.2,6.6
1860,3,9.6,2.6,6.1
1860,4,12.1,9.4,10.75
1860,5,16.5,9.8,13.15
1860,6,12.6,9.6,11.1
1860,7,17.7,12.7,15.2
1860,8,14.3,11.1,12.7
1860,9,13.2,3.4,8.3
1860,10,12.5,9.4,10.95
1860,11,11.2,3.8,7.5
1860,12,8.2,2.3,5.25
1861,1,4.9,2.0,3.45
1861,2,9.8,1.2,5.5
1861,3,11.6,9.4,10.5
