Year,Month,Max (�C),Min (�C),Ave
1899,7,21.4,13.3,17.35
1899,8,22.9,13.2,18.05
1899,9,16.2,10.4,13.3
1899,10,15.4,8.1,11.75
1899,11,12.9,5.9,9.4
1899,12,7.9,3.3,5.6
1900,1,10.1,0.7,5.4
1900,2,6.6,-1.7,2.45
1900,3,8.6,-2.4,3.1
1900,4,14.3,8.6,11.45
1900,5,9.5,4.1,6.8
1900,6,19.3,7.9,13.6
1900,7,17.2,10.7,13.95
1900,8,14.4,8.9,11.65
1900,9,19.9,12.4,16.15
1900,10,8.4,1.6,5
1900,11,12.7,2.9,7.8
1900,12,9.4,3.9,6.65
1901,1,11.6,4.8,8.2
1901,2,5.0,1.9,3.45
1901,3,8.9,1.6,5.25
1901,4,9.1,1.6,5.35
1901,5,17.4,9.4,13.4
1901,6,16.1,8.2,12.15
1901,7,23.9,10.6,17.25
1901,8,20.8,10.0,15.4
1901,9,18.2,6.0,12.1
1901,10,11.8,-1.4,5.2
1901,11,10.1,4.4,7.25
1901,12,5.2,2.4,3.8
1902,1,3.7,-2.2,0.75
1902,2,6.8,1.8,4.3
1902,3,11.0,2.1,6.55
1902,4,8.2,2.2,5.2
1902,5,14.3,5.8,10.05
1902,6,22.2,8.8,15.5
1902,7,21.7,12.4,17.05
1902,8,18.3,11.9,15.1
1902,9,18.7,11.3,15
1902,10,12.8,7.0,9.9
1902,11,11.3,7.8,9.55
1902,12,10.8,7.4,9.1
1903,1,1.6,-2.9,-0.65
1903,2,11.9,5.8,8.85
1903,3,9.3,-0.1,4.6
1903,4,10.5,1.7,6.1
1903,5,9.1,6.8,7.95
1903,6,14.8,3.3,9.05
1903,7,15.7,9.6,12.65
1903,8,17.2,8.5,12.85
1903,9,16.8,10.6,13.7
1903,10,15.3,9.8,12.55
1903,11,11.2,6.3,8.75
1903,12,9.6,2.1,5.85
1904,1,7.4,1.0,4.2
1904,2,3.6,-1.7,0.95
1904,3,6.1,1.8,3.95
1904,4,13.3,7.7,10.5
1904,5,13.3,5.6,9.45
1904,6,13.0,8.4,10.7
1904,7,16.3,8.3,12.3
1904,8,16.7,4.1,10.4
1904,9,15.6,3.9,9.75
1904,10,16.0,11.9,13.95
1904,11,10.3,5.7,8
1904,12,5.2,-2.5,1.35
1905,1,3.4,1.1,2.25
1905,2,11.4,5.3,8.35
1905,3,12.6,4.3,8.45
1905,4,10.6,0.9,5.75
1905,5,15.1,8.1,11.6
1905,6,17.7,12.2,14.95
1905,7,21.6,14.1,17.85
1905,8,13.4,10.5,11.95
1905,9,13.8,4.7,9.25
1905,10,11.0,2.2,6.6
1905,11,5.4,-1.3,2.05
1905,12,8.9,5.4,7.15
1906,1,9.5,3.4,6.45
1906,2,8.1,1.7,4.9
1906,3,11.0,1.0,6
1906,4,10.4,0.2,5.3
1906,5,11.2,5.9,8.55
1906,6,19.9,11.8,15.85
1906,7,20.4,7.4,13.9
1906,8,22.1,13.3,17.7
1906,9,17.9,3.0,10.45
1906,10,13.0,8.0,10.5
1906,11,10.7,0.5,5.6
1906,12,0.2,-5.0,-2.4
1907,1,9.3,-4.5,2.4
1907,2,5.2,-2.8,1.2
1907,3,8.7,1.5,5.1
1907,4,7.3,1.1,4.2
1907,5,16.2,8.6,12.4
1907,6,12.2,6.5,9.35
1907,7,25.6,11.5,18.55
1907,8,18.6,10.9,14.75
1907,9,15.8,11.3,13.55
1907,10,12.3,5.8,9.05
1907,11,10.9,6.9,8.9
1907,12,12.4,7.8,10.1
1908,1,8.8,-0.1,4.35
1908,2,9.9,6.6,8.25
1908,3,8.1,-4.1,2
1908,4,5.5,-0.9,2.3
1908,5,18.5,4.9,11.7
1908,6,21.6,8.9,15.25
1908,7,25.2,9.4,17.3
1908,8,17.8,12.7,15.25
1908,9,13.4,3.7,8.55
1908,10,15.3,11.8,13.55
1908,11,12.7,7.2,9.95
1908,12,9.3,3.0,6.15
1909,1,11.7,8.8,10.25
1909,2,8.5,-3.5,2.5
1909,3,10.0,1.2,5.6
1909,4,17.9,-2.2,7.85
1909,5,10.4,-0.9,4.75
1909,6,15.7,10.1,12.9
1909,7,21.4,10.2,15.8
1909,8,22.7,4.6,13.65
1909,9,16.4,10.8,13.6
1909,10,14.9,4.9,9.9
1909,11,11.2,4.2,7.7
1909,12,8.9,1.7,5.3
1910,1,4.7,-7.8,-1.55
1910,2,9.6,3.6,6.6
1910,3,10.6,-1.7,4.45
1910,4,10.6,4.4,7.5
1910,5,10.8,2.6,6.7
1910,6,15.2,8.0,11.6
1910,7,16.9,7.1,12
1910,8,17.0,10.8,13.9
1910,9,14.0,9.4,11.7
1910,10,11.6,8.8,10.2
1910,11,10.9,1.1,6
1910,12,6.9,2.2,4.55
1911,1,10.4,6.9,8.65
1911,2,8.4,2.2,5.3
1911,3,8.2,-0.8,3.7
1911,4,11.1,4.3,7.7
1911,5,15.6,1.7,8.65
1911,6,15.2,5.9,10.55
1911,7,21.3,12.7,17
1911,8,20.5,11.9,16.2
1911,9,17.2,7.0,12.1
1911,10,12.7,6.4,9.55
1911,11,5.8,-3.8,1
1911,12,9.9,4.0,6.95
1912,1,5.0,3.3,4.15
1912,2,13.3,6.7,10
1912,3,10.6,1.1,5.85
1912,4,15.0,7.2,11.1
1912,5,15.0,1.7,8.35
1912,6,16.1,5.0,10.55
1912,7,16.7,11.7,14.2
1912,8,15.6,5.6,10.6
1912,9,11.7,5.6,8.65
1912,10,9.4,1.1,5.25
1912,11,2.8,-6.1,-1.65
1912,12,11.1,3.3,7.2
1913,1,7.8,-2.2,2.8
1913,2,10.6,1.7,6.15
1913,3,8.9,2.2,5.55
1913,4,15.0,5.6,10.3
1913,5,15.6,3.9,9.75
1913,6,17.8,7.2,12.5
1913,7,17.8,10.6,14.2
1913,8,22.8,12.8,17.8
1913,9,17.8,11.7,14.75
1913,10,13.3,7.2,10.25
1913,11,11.7,3.3,7.5
1913,12,7.2,4.4,5.8
1914,1,6.1,2.2,4.15
1914,2,10.6,-2.8,3.9
1914,3,11.1,4.4,7.75
1914,4,14.4,7.8,11.1
1914,5,15.6,-1.7,6.95
1914,6,18.3,7.2,12.75
1914,7,18.9,11.7,15.3
1914,8,18.9,12.2,15.55
1914,9,16.1,12.2,14.15
1914,10,13.3,2.2,7.75
1914,11,13.9,12.2,13.05
1914,12,5.0,3.3,4.15
1915,1,-1.7,-8.9,-5.3
1915,2,7.2,1.1,4.15
1915,3,11.1,3.3,7.2
1915,4,15.6,3.3,9.45
1915,5,16.7,4.4,10.55
1915,6,17.2,2.2,9.7
1915,7,16.7,5.6,11.15
1915,8,15.6,7.2,11.4
1915,9,15.6,1.7,8.65
1915,10,11.1,-0.6,5.25
1915,11,6.1,-1.1,2.5
1915,12,2.8,-3.9,-0.55
1916,1,11.7,4.4,8.05
1916,2,3.9,-0.6,1.65
1916,3,10.6,1.7,6.15
1916,4,17.2,6.7,11.95
1916,5,13.9,0.0,6.95
1916,6,15.6,3.3,9.45
1916,7,16.1,10.6,13.35
1916,8,21.7,11.1,16.4
1916,9,17.8,10.0,13.9
1916,10,11.7,1.7,6.7
1916,11,11.1,5.0,8.05
1916,12,7.2,1.1,4.15
1917,1,4.4,-1.7,1.35
1917,2,4.4,-3.9,0.25
1917,3,7.2,-2.2,2.5
1917,4,9.4,-2.8,3.3
1917,5,16.7,7.2,11.95
1917,6,20.0,11.7,15.85
1917,7,19.4,8.3,13.85
1917,8,17.2,10.6,13.9
1917,9,17.8,10.0,13.9
1917,10,18.9,10.0,14.45
1917,11,11.1,1.7,6.4
1917,12,6.7,-4.4,1.15
1918,1,2.2,-5.0,-1.4
1918,2,12.2,7.2,9.7
1918,3,11.7,2.2,6.95
1918,4,8.3,2.2,5.25
1918,5,15.6,3.3,9.45
1918,6,15.6,6.1,10.85
1918,7,22.8,5.0,13.9
1918,8,19.4,11.1,15.25
1918,9,12.8,4.4,8.6
1918,10,12.2,-1.7,5.25
1918,11,11.7,5.0,8.35
1918,12,8.3,1.1,4.7
1919,1,4.4,-1.7,1.35
1919,2,7.8,5.0,6.4
1919,3,5.0,-5.0,0
1919,4,11.7,6.1,8.9
1919,5,17.8,10.0,13.9
1919,6,19.4,3.3,11.35
1919,7,16.7,11.1,13.9
1919,8,23.3,13.3,18.3
1919,9,22.2,15.0,18.6
1919,10,15.0,5.6,10.3
1919,11,0.6,-4.4,-1.9
1919,12,8.9,3.9,6.4
1920,1,10.0,1.7,5.85
1920,2,11.7,6.7,9.2
1920,3,10.6,7.2,8.9
1920,4,12.2,6.1,9.15
1920,5,15.6,2.8,9.2
1920,6,18.3,12.2,15.25
1920,7,15.0,11.7,13.35
1920,8,16.7,8.9,12.8
1920,9,17.8,8.9,13.35
1920,10,15.6,8.3,11.95
1920,11,8.9,0.0,4.45
1920,12,4.4,-4.4,0
1921,1,11.7,8.3,10
1921,2,5.6,3.3,4.45
1921,3,13.3,7.2,10.25
1921,4,8.3,1.7,5
1921,5,17.8,3.3,10.55
1921,6,22.2,7.2,14.7
1921,7,27.2,12.2,19.7
1921,8,16.7,8.3,12.5
1921,9,16.7,7.2,11.95
1921,10,11.1,-1.1,5
1921,11,13.9,6.7,10.3
1921,12,8.9,2.2,5.55
1922,1,8.3,-2.2,3.05
1922,2,8.3,4.4,6.35
1922,3,11.7,6.1,8.9
1922,4,10.0,0.0,5
1922,5,15.0,4.4,9.7
1922,6,16.7,8.3,12.5
1922,7,21.1,13.3,17.2
1922,8,18.9,2.2,10.55
1922,9,15.0,2.8,8.9
1922,10,19.4,8.9,14.15
1922,11,8.3,-4.4,1.95
1922,12,6.1,2.2,4.15
1923,1,10.6,7.8,9.2
1923,2,5.0,0.6,2.8
1923,3,12.2,-2.2,5
1923,4,9.4,6.1,7.75
1923,5,12.2,6.7,9.45
1923,6,18.3,12.8,15.55
1923,7,23.3,15.0,19.15
1923,8,16.7,8.3,12.5
1923,9,17.8,11.7,14.75
1923,10,13.3,5.0,9.15
1923,11,7.8,1.1,4.45
1923,12,10.0,-4.4,2.8
1924,1,9.4,-1.1,4.15
1924,2,7.2,-1.1,3.05
1924,3,8.3,-3.3,2.5
1924,4,8.9,3.3,6.1
1924,5,15.6,8.9,12.25
1924,6,17.2,10.0,13.6
1924,7,18.3,7.8,13.05
1924,8,20.6,12.8,16.7
1924,9,17.8,12.2,15
1924,10,13.3,8.3,10.8
1924,11,12.8,9.4,11.1
1924,12,12.8,8.3,10.55
1925,1,8.9,-0.6,4.15
1925,2,7.2,-1.1,3.05
1925,3,10.0,3.9,6.95
1925,4,14.4,2.2,8.3
1925,5,10.6,-0.6,5
1925,6,17.8,5.6,11.7
1925,7,20.0,11.7,15.85
1925,8,16.7,11.7,14.2
1925,9,15.6,8.9,12.25
1925,10,11.7,3.9,7.8
1925,11,6.7,-3.3,1.7
1925,12,3.3,-2.2,0.55
1926,1,11.7,1.1,6.4
1926,2,13.3,5.6,9.45
1926,3,10.6,3.9,7.25
1926,4,15.0,9.4,12.2
1926,5,18.3,11.1,14.7
1926,6,15.6,8.3,11.95
1926,7,19.4,13.3,16.35
1926,8,18.9,12.8,15.85
1926,9,17.8,6.7,12.25
1926,10,11.1,-4.4,3.35
1926,11,10.0,5.0,7.5
1926,12,4.4,-2.2,1.1
1927,1,9.4,1.1,5.25
1927,2,13.3,2.8,8.05
1927,3,10.6,3.9,7.25
1927,4,11.7,-0.6,5.55
1927,5,15.0,1.1,8.05
1927,6,15.6,9.4,12.5
1927,7,22.2,9.4,15.8
1927,8,21.1,14.4,17.75
1927,9,13.3,5.6,9.45
1927,10,13.3,8.9,11.1
1927,11,12.2,-2.2,5
1927,12,4.4,-4.4,0
1928,1,5.0,1.1,3.05
1928,2,8.9,6.7,7.8
1928,3,13.3,5.0,9.15
1928,4,12.8,0.0,6.4
1928,5,15.6,11.7,13.65
1928,6,14.4,7.2,10.8
1928,7,18.3,10.6,14.45
1928,8,19.4,6.1,12.75
1928,9,12.2,0.6,6.4
1928,10,13.3,7.8,10.55
1928,11,7.8,-0.6,3.6
1928,12,10.6,2.2,6.4
1929,1,7.2,0.0,3.6
1929,2,13.3,6.7,10
1929,3,7.8,-1.1,3.35
1929,4,9.4,4.4,6.9
1929,5,17.8,8.9,13.35
1929,6,16.7,9.4,13.05
1929,7,17.8,8.3,13.05
1929,8,22.2,11.7,16.95
1929,9,19.4,10.0,14.7
1929,10,13.9,5.6,9.75
1929,11,11.1,5.6,8.35
1929,12,11.7,3.9,7.8
1930,1,9.4,1.7,5.55
1930,2,8.9,-2.8,3.05
1930,3,6.1,0.6,3.35
1930,4,6.7,3.3,5
1930,5,17.8,6.1,11.95
1930,6,16.7,5.0,10.85
1930,7,18.9,11.7,15.3
1930,8,16.1,10.0,13.05
1930,9,17.8,10.0,13.9
1930,10,9.4,3.9,6.65
1930,11,11.7,5.6,8.65
1930,12,11.1,5.6,8.35
1931,1,7.2,1.7,4.45
1931,2,8.3,-0.6,3.85
1931,3,12.8,2.8,7.8
1931,4,12.8,3.9,8.35
1931,5,16.1,4.4,10.25
1931,6,16.1,7.2,11.65
1931,7,20.6,10.0,15.3
1931,8,16.7,7.2,11.95
1931,9,15.6,6.1,10.85
1931,10,15.6,1.1,8.35
1931,11,11.7,6.1,8.9
1931,12,11.7,5.0,8.35
1932,1,11.7,5.0,8.35
1932,2,6.7,-2.2,2.25
1932,3,7.8,-6.1,0.85
1932,4,10.6,-1.1,4.75
1932,5,15.0,6.1,10.55
1932,6,20.6,8.3,14.45
1932,7,21.1,12.8,16.95
1932,8,23.3,14.4,18.85
1932,9,18.3,10.0,14.15
1932,10,10.0,3.9,6.95
1932,11,7.2,1.7,4.45
1932,12,11.1,5.0,8.05
1933,1,8.3,3.9,6.1
1933,2,7.2,-2.8,2.2
1933,3,17.8,-1.1,8.35
1933,4,18.3,3.9,11.1
1933,5,17.2,11.7,14.45
1933,6,18.9,11.1,15
1933,7,18.9,13.3,16.1
1933,8,22.2,13.9,18.05
1933,9,18.3,12.8,15.55
1933,10,11.1,2.8,6.95
1933,11,12.8,6.1,9.45
1933,12,8.3,6.1,7.2
1934,1,10.6,1.1,5.85
1934,2,8.9,2.8,5.85
1934,3,7.8,5.6,6.7
1934,4,13.9,0.6,7.25
1934,5,15.0,5.0,10
1934,6,23.3,14.4,18.85
1934,7,22.8,10.0,16.4
1934,8,21.1,13.9,17.5
1934,9,17.8,11.1,14.45
1934,10,16.7,10.0,13.35
1934,11,10.0,2.8,6.4
1934,12,11.1,7.8,9.45
1935,1,8.9,1.7,5.3
1935,2,7.8,-2.2,2.8
1935,3,6.1,1.7,3.9
1935,4,13.9,3.9,8.9
1935,5,9.4,0.6,5
1935,6,20.6,14.4,17.5
1935,7,20.0,10.6,15.3
1935,8,17.2,5.0,11.1
1935,9,18.9,12.2,15.55
1935,10,12.2,6.7,9.45
1935,11,10.0,1.7,5.85
1935,12,6.1,2.8,4.45
1936,1,8.9,2.8,5.85
1936,2,10.6,5.6,8.1
1936,3,15.6,8.9,12.25
1936,4,7.2,-2.2,2.5
1936,5,12.8,2.2,7.5
1936,6,17.2,10.0,13.6
1936,7,18.3,8.3,13.3
1936,8,21.1,11.1,16.1
1936,9,18.3,11.7,15
1936,10,17.2,5.6,11.4
1936,11,8.9,4.4,6.65
1936,12,8.3,-2.2,3.05
1937,1,6.1,1.7,3.9
1937,2,11.1,5.6,8.35
1937,3,8.9,-4.4,2.25
1937,4,12.2,1.7,6.95
1937,5,18.3,11.1,14.7
1937,6,18.3,11.1,14.7
1937,7,16.7,11.7,14.2
1937,8,20.6,12.8,16.7
1937,9,17.2,12.2,14.7
1937,10,10.6,7.2,8.9
1937,11,10.0,6.7,8.35
1937,12,9.4,5.6,7.5
1938,1,12.8,7.8,10.3
1938,2,15.6,5.6,10.6
1938,3,16.1,8.3,12.2
1938,4,13.3,-2.8,5.25
1938,5,10.6,6.1,8.35
1938,6,18.3,8.9,13.6
1938,7,18.9,10.0,14.45
1938,8,16.1,7.8,11.95
1938,9,20.0,13.9,16.95
1938,10,15.6,7.2,11.4
1938,11,11.7,5.6,8.65
1938,12,12.8,4.4,8.6
1939,1,8.3,6.1,7.2
1939,2,10.6,3.3,6.95
1939,3,11.7,4.4,8.05
1939,4,11.7,4.4,8.05
1939,5,9.4,2.2,5.8
1939,6,17.2,10.6,13.9
1939,7,21.1,15.0,18.05
1939,8,21.7,13.3,17.5
1939,9,15.6,7.8,11.7
1939,10,9.4,3.3,6.35
1939,11,7.2,3.3,5.25
1939,12,10.0,7.2,8.6
1940,1,1.1,-6.7,-2.8
1940,2,5.0,-0.6,2.2
1940,3,12.2,1.1,6.65
1940,4,11.1,2.2,6.65
1940,5,15.0,4.4,9.7
1940,6,23.3,10.0,16.65
1940,7,15.6,9.4,12.5
1940,8,18.3,11.7,15
1940,9,16.7,3.9,10.3
1940,10,11.1,1.7,6.4
1940,11,6.1,2.2,4.15
1940,12,11.7,4.4,8.05
1941,1,3.9,-0.6,1.65
1941,2,8.3,4.4,6.35
1941,3,6.7,1.7,4.2
1941,4,5.6,2.8,4.2
1941,5,16.7,8.9,12.8
1941,6,20.6,12.2,16.4
1941,7,21.1,10.6,15.85
1941,8,17.8,10.6,14.2
1941,9,22.2,11.1,16.65
1941,10,8.3,1.7,5
1941,11,9.4,5.6,7.5
1941,12,10.0,3.9,6.95
1942,1,7.2,-1.1,3.05
1942,2,6.7,-0.6,3.05
1942,3,16.7,-2.8,6.95
1942,4,18.3,0.6,9.45
1942,5,16.7,8.9,12.8
1942,6,15.6,5.6,10.6
1942,7,19.4,12.2,15.8
1942,8,18.9,11.7,15.3
1942,9,13.9,7.2,10.55
1942,10,15.0,11.1,13.05
1942,11,7.8,3.9,5.85
1942,12,10.6,6.1,8.35
1943,1,10.0,3.3,6.65
1943,2,6.1,-2.8,1.65
1943,3,13.3,5.0,9.15
1943,4,12.8,5.0,8.9
1943,5,13.3,2.8,8.05
1943,6,17.8,8.3,13.05
1943,7,19.4,11.1,15.25
1943,8,17.8,13.9,15.85
1943,9,18.9,10.0,14.45
1943,10,13.3,1.7,7.5
1943,11,12.2,5.6,8.9
1943,12,7.8,1.7,4.75
1944,1,12.8,8.3,10.55
1944,2,8.9,-2.8,3.05
1944,3,16.7,-1.1,7.8
1944,4,15.0,3.3,9.15
1944,5,16.1,3.3,9.7
1944,6,13.9,6.1,10
1944,7,18.3,10.6,14.45
1944,8,20.0,6.7,13.35
1944,9,12.8,9.4,11.1
1944,10,10.6,5.0,7.8
1944,11,8.3,0.0,4.15
1944,12,7.2,1.7,4.45
1945,1,0.0,-10.6,-5.3
1945,2,5.6,0.6,3.1
1945,3,13.9,7.2,10.55
1945,4,10.6,1.1,5.85
1945,5,8.9,-1.7,3.6
1945,6,22.8,7.2,15
1945,7,17.8,11.1,14.45
1945,8,20.6,12.2,16.4
1945,9,18.3,12.2,15.25
1945,10,13.3,9.4,11.35
1945,11,7.2,-2.2,2.5
1945,12,7.8,-0.6,3.6
1946,1,10.6,6.7,8.65
1946,2,10.6,6.7,8.65
1946,3,5.0,1.7,3.35
1946,4,19.4,1.7,10.55
1946,5,10.0,6.1,8.05
1946,6,18.3,7.2,12.75
1946,7,19.4,8.3,13.85
1946,8,20.0,11.7,15.85
1946,9,17.2,12.8,15
1946,10,10.6,1.7,6.15
1946,11,10.0,5.0,7.5
1946,12,10.6,2.2,6.4
1947,1,7.8,2.2,5
1947,2,3.3,0.0,1.65
1947,3,4.4,2.8,3.6
1947,4,12.2,1.7,6.95
1947,5,16.1,6.1,11.1
1947,6,20.0,13.9,16.95
1947,7,25.6,12.8,19.2
1947,8,23.3,6.1,14.7
1947,9,16.7,9.4,13.05
1947,10,10.0,7.2,8.6
1947,11,6.1,-0.6,2.75
1947,12,2.8,-8.3,-2.75
1948,1,5.0,0.6,2.8
1948,2,6.1,-2.2,1.95
1948,3,15.6,-2.8,6.4
1948,4,11.1,-1.1,5
1948,5,11.7,1.1,6.4
1948,6,13.9,8.3,11.1
1948,7,16.1,10.0,13.05
1948,8,17.8,8.3,13.05
1948,9,17.2,8.3,12.75
1948,10,11.1,-1.7,4.7
1948,11,15.6,12.8,14.2
1948,12,6.7,2.2,4.45
1949,1,7.2,-2.8,2.2
1949,2,8.9,-0.6,4.15
1949,3,9.4,-1.7,3.85
1949,4,12.8,5.0,8.9
1949,5,15.6,4.4,10
1949,6,23.9,5.6,14.75
1949,7,25.0,10.6,17.8
1949,8,14.4,10.0,12.2
1949,9,18.3,13.9,16.1
1949,10,17.2,11.1,14.15
1949,11,7.8,3.9,5.85
1949,12,10.6,4.4,7.5
1950,1,11.1,1.1,6.1
1950,2,13.3,8.9,11.1
1950,3,7.8,2.8,5.3
1950,4,8.9,0.6,4.75
1950,5,12.8,8.3,10.55
1950,6,21.1,8.9,15
1950,7,21.1,13.3,17.2
1950,8,22.2,9.4,15.8
1950,9,17.8,6.1,11.95
1950,10,14.4,8.3,11.35
1950,11,12.8,6.7,9.75
1950,12,3.3,-2.8,0.25
1951,1,5.0,-1.7,1.65
1951,2,7.8,0.0,3.9
1951,3,8.3,-2.2,3.05
1951,4,11.7,-0.6,5.55
1951,5,19.4,5.0,12.2
1951,6,19.4,10.0,14.7
1951,7,21.7,12.8,17.25
1951,8,20.6,11.1,15.85
1951,9,20.0,16.1,18.05
1951,10,11.7,6.1,8.9
1951,11,9.4,2.2,5.8
1951,12,12.2,2.8,7.5
1952,1,4.4,-1.1,1.65
1952,2,9.4,4.4,6.9
1952,3,7.2,5.0,6.1
1952,4,12.2,1.1,6.65
1952,5,20.0,9.4,14.7
1952,6,16.1,2.8,9.45
1952,7,22.2,15.0,18.6
1952,8,22.8,13.3,18.05
1952,9,17.8,0.6,9.2
1952,10,14.4,7.2,10.8
1952,11,6.7,5.0,5.85
1952,12,10.0,3.3,6.65
1953,1,10.0,7.2,8.6
1953,2,13.3,10.0,11.65
1953,3,10.6,3.3,6.95
1953,4,11.1,5.6,8.35
1953,5,16.7,8.9,12.8
1953,6,19.4,6.1,12.75
1953,7,17.2,10.6,13.9
1953,8,22.2,14.4,18.3
1953,9,17.8,9.4,13.6
1953,10,15.6,9.4,12.5
1953,11,10.6,8.3,9.45
1953,12,10.6,2.2,6.4
1954,1,7.2,3.9,5.55
1954,2,6.7,0.6,3.65
1954,3,11.1,2.8,6.95
1954,4,10.0,2.8,6.4
1954,5,20.0,7.2,13.6
1954,6,17.8,5.6,11.7
1954,7,16.1,6.7,11.4
1954,8,17.8,10.6,14.2
1954,9,16.1,11.7,13.9
1954,10,15.6,11.1,13.35
1954,11,9.4,2.2,5.8
1954,12,10.0,3.9,6.95
1955,1,4.4,2.2,3.3
1955,2,8.3,0.0,4.15
1955,3,6.1,1.7,3.9
1955,4,15.0,7.2,11.1
1955,5,16.7,10.6,13.65
1955,6,20.0,9.4,14.7
1955,7,20.6,8.3,14.45
1955,8,19.4,10.0,14.7
1955,9,16.1,7.8,11.95
1955,10,12.8,2.2,7.5
1955,11,11.1,5.0,8.05
1955,12,6.1,5.0,5.55
1956,1,3.3,-1.1,1.1
1956,2,3.3,-2.8,0.25
1956,3,11.1,3.9,7.5
1956,4,11.1,-1.7,4.7
1956,5,13.3,-1.7,5.8
1956,6,15.6,2.8,9.2
1956,7,21.7,13.9,17.8
1956,8,18.9,8.9,13.9
1956,9,20.0,12.8,16.4
1956,10,15.0,7.8,11.4
1956,11,11.7,5.0,8.35
1956,12,7.2,-0.6,3.3
1957,1,11.7,8.3,10
1957,2,12.8,3.3,8.05
1957,3,12.8,9.4,11.1
1957,4,8.7,0.7,4.7
1957,5,16.2,8.1,12.15
1957,6,14.9,3.3,9.1
1957,7,22.8,9.4,16.1
1957,8,16.1,9.8,12.95
1957,9,16.8,9.4,13.1
1957,10,14.7,5.9,10.3
1957,11,9.1,6.7,7.9
1957,12,9.2,2.5,5.85
1958,1,10.0,1.7,5.85
1958,2,9.4,7.1,8.25
1958,3,8.7,6.6,7.65
1958,4,14.0,0.6,7.3
1958,5,17.4,10.6,14
1958,6,13.3,11.4,12.35
1958,7,16.2,6.2,11.2
1958,8,13.7,9.1,11.4
1958,9,15.9,13.2,14.55
1958,10,11.7,5.0,8.35
1958,11,13.4,6.6,10
1958,12,11.3,6.3,8.8
