,year,month,ind,rain,gdf,rd,wd
134,1952,3,0,25.5,8.4,17,6
135,1952,4,0,47.3,16.5,16,12
136,1952,5,0,57.4,12.1,15,10
137,1952,6,0,33.6,5.2,12,8
138,1952,7,0,20.8,9.3,11,3
139,1952,8,0,113.9,27.3,14,10
140,1952,9,0,67.7,23.8,14,11
141,1952,10,0,94.0,18,20,15
142,1952,11,0,83.2,19.1,20,12
143,1952,12,0,55.6,9.2,19,12
144,1953,1,0,14.4,5.2,12,5
145,1953,2,0,42.5,16.8,10,7
146,1953,3,0,11.2,4.1,7,4
147,1953,4,0,69.7,18.7,17,12
148,1953,5,0,40.0,9.6,12,8
149,1953,6,0,37.8,8.9,12,7
150,1953,7,0,77.3,10.3,23,18
151,1953,8,0,68.8,15.1,15,13
152,1953,9,0,36.1,6.9,13,11
153,1953,10,0,39.1,11.9,15,11
154,1953,11,0,51.5,17.5,17,9
155,1953,12,0,41.8,17,17,9
156,1954,1,0,33.7,7.5,16,10
157,1954,2,0,51.1,5.4,21,14
158,1954,3,0,55.5,8.3,14,12
159,1954,4,0,11.9,3.6,7,3
160,1954,5,0,106.6,34,15,12
161,1954,6,0,43.4,15.4,16,8
162,1954,7,0,53.2,6.2,21,17
163,1954,8,0,57.5,13.3,21,14
164,1954,9,0,43.4,7.4,22,12
165,1954,10,0,127.6,36.4,24,18
166,1954,11,0,102.9,18.4,20,16
167,1954,12,0,102.6,29.5,20,12
168,1955,1,0,84.6,24.1,21,15
169,1955,2,0,63.0,21.4,19,11
170,1955,3,0,27.3,8.9,8,5
171,1955,4,0,22.0,5.5,14,7
172,1955,5,0,53.4,7.6,18,15
173,1955,6,0,101.5,29.5,17,15
174,1955,7,0,11.9,9.4,3,2
175,1955,8,0,71.0,37.3,10,9
176,1955,9,0,51.0,10.7,14,9
177,1955,10,0,24.9,5.2,15,7
178,1955,11,0,46.7,14.1,13,9
179,1955,12,0,111.6,17.2,24,17
180,1956,1,0,73.3,26.7,15,10
181,1956,2,0,28.9,4.5,19,10
182,1956,3,0,55.7,9.5,17,13
183,1956,4,0,57.3,25.7,13,8
184,1956,5,0,20.0,4.4,14,6
185,1956,6,0,59.8,22.2,16,12
186,1956,7,0,95.8,15.3,17,14
187,1956,8,0,159.0,18.2,23,19
188,1956,9,0,103.2,26.2,17,13
189,1956,10,0,41.7,8.1,16,12
190,1956,11,0,35.8,12.5,15,10
191,1956,12,0,95.6,32.8,18,14
192,1957,1,0,42.9,8.6,19,12
193,1957,2,0,62.8,17.2,19,13
194,1957,3,0,70.7,14.5,22,11
195,1957,4,0,19.1,3.7,9,7
196,1957,5,0,63.8,19.8,14,11
197,1957,6,0,34.7,9,8,6
198,1957,7,0,82.5,11.4,20,16
199,1957,8,0,65.3,11.4,15,14
200,1957,9,0,130.7,41.2,22,19
201,1957,10,0,69.7,23,18,13
202,1957,11,0,42.8,22.3,10,5
203,1957,12,0,82.9,20.5,17,13
204,1958,1,0,36.6,5.5,20,12
205,1958,2,0,114.5,18.6,19,14
206,1958,3,0,28.6,14.5,15,7
207,1958,4,0,32.5,8.6,11,8
208,1958,5,0,107.5,23.3,20,15
209,1958,6,0,157.0,36.5,20,17
210,1958,7,0,125.3,36.5,18,15
211,1958,8,0,119.2,32,25,15
212,1958,9,0,103.5,15.2,22,18
213,1958,10,0,54.6,15,15,8
214,1958,11,0,52.1,11,14,10
215,1958,12,0,109.5,23.8,21,18
216,1959,1,0,39.6,10.8,14,8
217,1959,2,0,11.8,5.6,6,2
218,1959,3,0,36.9,6.7,17,10
219,1959,4,0,36.5,6.2,19,11
220,1959,5,0,74.1,32.2,9,6
221,1959,6,0,62.7,25.7,17,12
222,1959,7,0,44.6,11.8,15,11
223,1959,8,0,16.6,7.3,7,3
224,1959,9,0,23.7,14,6,4
225,1959,10,0,104.5,28.9,17,13
226,1959,11,0,86.8,19.8,17,11
227,1959,12,0,134.8,18.6,26,23
228,1960,1,0,78.4,19.5,20,13
229,1960,2,0,36.9,11.5,13,7
230,1960,3,0,77.1,12.3,13,11
231,1960,4,0,38.7,11.7,15,12
232,1960,5,0,56.9,19.8,8,7
233,1960,6,0,55.1,13.5,9,9
234,1960,7,0,127.2,13.6,24,22
235,1960,8,0,77.8,12.6,21,14
236,1960,9,0,80.9,15.8,19,15
237,1960,10,0,183.0,26.5,20,15
238,1960,11,0,96.5,14.5,21,17
239,1960,12,0,85.8,23.4,21,16
240,1961,1,0,93.1,21.5,22,14
241,1961,2,0,45.0,8.6,16,11
242,1961,3,0,7.4,1.8,7,4
243,1961,4,0,91.9,17.2,20,18
244,1961,5,0,22.1,7.3,12,7
245,1961,6,0,30.1,9.4,14,9
246,1961,7,0,48.1,21.4,10,7
247,1961,8,0,47.0,15,19,9
248,1961,9,0,79.9,32,16,11
249,1961,10,0,59.7,16.7,19,13
250,1961,11,0,54.9,17.8,15,6
251,1961,12,0,36.7,8.4,11,9
252,1962,1,0,38.7,7.8,16,13
253,1962,2,0,28.0,5.5,13,8
254,1962,3,0,52.4,13.9,18,11
255,1962,4,0,44.0,7.4,15,12
256,1962,5,0,63.7,27,16,11
257,1962,6,0,22.8,7.8,13,6
258,1962,7,0,70.8,24.7,12,12
259,1962,8,0,62.9,11.1,25,18
260,1962,9,0,116.2,20,21,18
261,1962,10,0,17.3,8.1,10,3
262,1962,11,0,47.5,11.2,15,6
263,1962,12,0,87.6,19,18,13
264,1963,1,0,44.0,12.5,10,8
265,1963,2,0,71.7,32,10,6
266,1963,3,0,64.4,18.5,17,11
267,1963,4,1,47.6,10.1,20,14
268,1963,5,0,38.5,6.8,21,11
269,1963,6,0,64.7,18.8,18,12
270,1963,7,0,20.4,3.8,14,6
271,1963,8,0,111.8,44.4,18,13
272,1963,9,0,47.2,15.8,15,10
273,1963,10,0,44.3,9.6,17,11
274,1963,11,0,102.9,16.2,21,16
275,1963,12,0,18.0,6.4,9,8
276,1964,1,0,11.4,2.8,8,3
277,1964,2,0,25.8,4.8,15,10
278,1964,3,0,92.8,16.2,20,12
279,1964,4,0,53.2,7,19,15
280,1964,5,0,41.1,6.3,17,11
281,1964,6,0,47.6,7.4,19,14
282,1964,7,0,31.2,10,14,8
283,1964,8,0,82.6,24.3,13,13
284,1964,9,0,49.0,17.3,15,8
285,1964,10,0,60.5,24.5,19,12
286,1964,11,0,23.1,6.3,13,7
287,1964,12,0,107.8,18.7,20,13
288,1965,1,0,98.3,32.4,21,16
289,1965,2,0,6.9,1.5,8,4
290,1965,3,0,46.2,6.8,17,11
