,Average Maximum Temperature,Average Minimum Temperature,Mean Temperature,Highest Temperature,Lowest Temperature
Source: Met Eireann.,,,,,
2012M05,15.4,8.6,12,26.1,0.6
2012M06,15.7,10.2,13,19.2,4.7
2012M07,16.6,11.3,14,19.2,7.6
2012M08,18.8,12.7,15.8,26,7.8
2012M09,15.3,10.6,13,18.2,4.8
2012M10,12.6,6.8,9.7,16.1,3.3
2012M11,9.7,5.2,7.5,12.1,1.1
2012M12,9.1,4.5,6.8,12.2,0.5
2013M01,8.6,4.3,6.4,11.8,-0.6
2013M02,9.2,3.1,6.2,12,-3
2013M03,7.9,2.2,5,11.2,-3.8
2013M04,11,4.2,7.6,14,-2.1
2013M05,12.4,7.7,10.1,16.2,2.9
2013M06,16.7,10.6,13.6,22.3,6.5
2013M07,20.4,13.5,17,27.8,7.9
2013M08,17.5,13.3,15.4,22.4,11.5
2013M09,16.6,11.7,14.1,23.4,6.4
2013M10,14.9,9.7,12.3,21,3.6
2013M11,10.5,5.9,8.2,13,1.3
2013M12,10.3,6,8.2,13.8,2.5
2014M01,8.9,4.3,6.6,11.3,0.7
2014M02,8.5,3.8,6.1,11.4,0.6
2014M03,10.4,4.9,7.6,15.8,-0.5
2014M04,13.8,7.5,10.7,18.4,3.1
2014M05,14.3,9,11.7,19.1,3.1
2014M06,17.8,10.9,14.4,21.8,4.8
2014M07,18.4,13.5,15.9,22.9,8.7
2014M08,17.2,11.6,14.4,19.8,6.9
2014M09,18.1,11,14.5,22,5.8
2014M10,14.1,9,11.6,17.3,-0.6
2014M11,11.3,5.6,8.4,13.5,-3.9
2014M12,9.5,5.2,7.4,12.3,0.6
2015M01,8.8,3.6,6.2,12.4,-0.6
2015M02,8.6,3.3,6,11.1,-1.1
2015M03,10.1,4.2,7.1,13,0.7
2015M04,12.7,5,8.9,17.8,1.6
2015M05,12.7,7.2,10,18,2.2
2015M06,14.7,9.6,12.2,18.3,5.2
2015M07,16.4,11.2,13.8,22.8,7.6
2015M08,16.1,11.5,13.8,19.1,8.2
2015M09,15.7,10.2,13,20.1,6.2
2015M10,14.5,8.6,11.5,18.6,3
2015M11,12.1,7.4,9.7,14.8,3
2015M12,10.9,6,8.4,14.2,0.7
2016M01,8.8,4.1,6.5,13.1,-0.7
2016M02,8.6,2.8,5.7,11.5,-1.3
2016M03,10.4,5.1,7.7,15.5,0.6
2016M04,11,5,8,15.9,-0.1
2016M05,15.5,8.4,12,25.4,2.9
2016M06,17.6,12.1,14.9,23.1,9
2016M07,16.9,12.1,14.5,25,9.3
2016M08,17.8,13.2,15.5,23.2,9.6
2016M09,16.4,12,14.2,19.6,7.6
2016M10,14,8.2,11.1,17.5,1.4
2016M11,10.1,4.9,7.5,13.1,-2.8
2016M12,10.6,6.3,8.5,13.8,-0.3
2017M01,9.4,4.8,7.1,11.5,-1.9
2017M02,9.3,4.9,7.1,11.7,-0.8
2017M03,11.5,5.6,8.5,17.9,0.1
2017M04,12.2,7.6,9.9,15.9,3.2
2017M05,16.6,8.6,12.6,22.1,3.7
2017M06,15.6,11.1,13.4,19.6,6.3
2017M07,17.2,11.5,14.4,24.7,7.8
2017M08,17,12.1,14.6,18.5,8.5
2017M09,15.6,10.3,13,18.3,3.8
2017M10,13.8,9.5,11.7,16.2,3.7
2017M11,10.5,6.4,8.5,13.7,2.2
2017M12,9.3,4.9,7.1,13.7,0.2
2018M01,8.7,3.7,6.2,11.3,-2.5
2018M02,8,2.4,5.2,10.7,-2.2
2018M03,8.7,2.5,5.6,13.7,-3.5
2018M04,11.8,6.1,8.9,15.7,0
2018M05,15.1,9.4,12.2,24.6,5.2
2018M06,18.2,11.3,14.8,27.2,6.1
2018M07,18,12.7,15.4,25.3,8.8
2018M08,16.7,12.2,14.5,20.4,7.2
2018M09,14.9,10.2,12.6,17.4,5.4
2018M10,13,8.8,10.9,19.1,3.2
2018M11,11,5.8,8.4,15,1
2018M12,10.2,6.2,8.2,12.7,2
2019M01,9.1,5.8,7.5,11.5,0.6
2019M02,11.3,6,8.6,15.6,-0.2
2019M03,10.5,5.9,8.2,12.8,2.3
2019M04,13.7,7,10.3,21,1.1
2019M05,14.6,7.9,11.2,20.4,1.1
2019M06,15.6,10.1,12.9,22,5.5
2019M07,18.2,13.2,15.7,22.7,8.4
2019M08,18,12.9,15.4,23.4,8.6
2019M09,16.4,11.1,13.8,20.8,6.6
2019M10,12.9,8.1,10.5,16.2,2.1
2019M11,9.7,4.9,7.3,12.9,-0.7
2019M12,9.7,4.9,7.3,13.1,0.7
2020M01,9.7,5.5,7.6,12.7,-0.8
2020M02,8.9,3.9,6.4,11,0.7
2020M03,9.4,4.5,7,11.9,1
2020M04,13.6,6.5,10.1,19.1,2.3
2020M05,16,8.7,12.3,25.6,1.1
2020M06,15.4,10.7,13.1,21.7,6.7
2020M07,16,11.3,13.6,18.6,6.5
2020M08,18.3,13,15.7,24.1,10
2020M09,16.3,10.8,13.6,22.2,3.1
2020M10,13,7.7,10.3,15.9,5.1
2020M11,11.3,6.7,9,15.1,2.2
2020M12,8.7,4.7,6.7,11.4,-1.7
2021M01,8,3.2,5.6,11.1,-1.1
2021M02,8.7,4.7,6.7,11.9,-1.1
2021M03,10.5,5.3,7.9,13.5,0.6
2021M04,12.5,4.8,8.6,20.6,0.3
2021M05,13.5,6.3,9.9,18.5,1.1
2021M06,15.2,10.4,12.8,17.4,5
2021M07,19.4,13.4,16.4,28.6,10
2021M08,18.5,12.9,15.7,23.8,8.1
2021M09,17.1,12.4,14.7,21.6,8.1
2021M10,14.4,10.1,12.2,16.7,5.7
2021M11,12,8.1,10.1,14.4,3.9
2021M12,10,5.2,7.6,14,0.6
2022M01,10,5.6,7.8,12.4,-0.1
2022M02,10.1,5.2,7.6,12.5,0.8
2022M03,12,4.6,8.3,18.3,-1.6
2022M04,13.3,6.4,9.9,18.2,-0.1
2022M05,14.8,9.8,12.3,20.3,5.9
2022M06,16.1,11.1,13.6,20.4,6.6
2022M07,17.8,12.6,15.2,23.6,9.1
2022M08,18.8,13.2,16,25.6,7.7
2022M09,17.4,11.5,14.4,21.6,6.8
2022M10,14.5,10.3,12.4,16.7,5.9
2022M11,11.9,7.6,9.8,15.4,2.4
2022M12,8.3,3.6,5.9,12.1,-2.1
