Depth ice/snow [m],"Gas age [ka BP] (AICC2012, BP = 1950)","CH4 mix ratio [nmol/mol] (measured, Determined accordin...)",CH4 mix ratio std dev [�] (Methane mixing ratio error (1...),"_13C CH4 [� PDB] (measured, with respect to Vie...)",_13C CH4 std dev [�] (d13CH4 error (1-sigma standar...),Grav sett [�] (see supporting information of...),_13C CH4 [� PDB] (corrected for gravitational s...),Diff frac [�] (see supporting information of...),_13C CH4 [� PDB] (corrected for gravitational s...)
587.48,9.108,668,5,-46.39,0.15,0.33,-46.72,0.01,-46.73
646.48,10.407,708,5,-45.99,0.15,0.35,-46.34,0.02,-46.36
660.27,10.712,670,5,-45.75,0.15,0.36,-46.11,-0.03,-46.08
673.64,11.047,685,5,-45.42,0.15,0.36,-45.78,0.02,-45.8
681.85,11.269,667,5,-45.54,0.15,0.36,-45.9,0,-45.9
697.79,11.66,505,5,-45.86,0.15,0.36,-46.22,-0.18,-46.04
705.64,11.861,470,5,-45.04,0.15,0.36,-45.4,-0.06,-45.34
769.85,14.23,615,5,-45.06,0.15,0.36,-45.42,-0.01,-45.4
785.69,14.846,514,5,-45.76,0.15,0.36,-46.12,-0.09,-46.03
826.24,16.835,432,5,-43.45,0.15,0.35,-43.8,-0.03,-43.77
847.58,18.237,375,5,-42.47,0.15,0.35,-42.82,-0.02,-42.8
848.76,18.33,374,5,-42.77,0.15,0.35,-43.12,-0.02,-43.1
854,18.869,382,5,-42.25,0.15,0.35,-42.6,0,-42.6
856.6,19.061,379,5,-42.44,0.15,0.35,-42.79,0.01,-42.8
864.6,19.664,367,5,-42.91,0.15,0.35,-43.26,0,-43.26
865.6,19.744,373,5,-42.6,0.15,0.35,-42.95,0,-42.95
869.4,20.06,364,5,-42.9,0.15,0.35,-43.25,-0.02,-43.23
869.8,20.093,367,5,-42.57,0.15,0.35,-42.92,-0.02,-42.9
873.6,20.442,384,5,-42.59,0.15,0.35,-42.94,0,-42.94
879.4,21.027,365,5,-42.41,0.15,0.35,-42.76,0.01,-42.77
879.53,21.04,357,5,-42.58,0.15,0.35,-42.93,0.01,-42.94
887.45,21.911,362,5,-42.59,0.15,0.33,-42.92,-0.01,-42.91
894.84,22.721,382,5,-43.24,0.15,0.34,-43.58,0.01,-43.6
896.84,22.923,390,5,-43.05,0.15,0.35,-43.4,-0.02,-43.38
903.41,23.678,387,5,-42.62,0.15,0.35,-42.97,0.01,-42.98
929.6,26.729,364,5,-43.57,0.15,0.34,-43.91,0.03,-43.94
943.81,28.16,368,5,-43.54,0.15,0.39,-43.93,-0.04,-43.89
958.67,29.521,391,5,-43.79,0.15,0.39,-44.18,0.02,-44.2
981.84,31.843,412,5,-43.73,0.15,0.42,-44.15,0.05,-44.2
990.4,32.651,423,5,-44.87,0.15,0.44,-45.31,-0.05,-45.26
1007.27,34.125,440,5,-44.12,0.15,0.42,-44.54,-0.06,-44.48
1035.34,36.386,462,5,-44.52,0.15,0.42,-44.94,0.07,-45.01
1041.69,36.897,531,5,-44.77,0.15,0.41,-45.18,0.03,-45.21
1047.38,37.338,574,5,-45.11,0.15,0.41,-45.52,0.02,-45.54
1055.47,37.956,564,5,-45.01,0.15,0.42,-45.43,-0.03,-45.41
1059.15,38.19,479,5,-46.06,0.15,0.43,-46.49,-0.1,-46.39
1067.47,38.768,453,5,-44.84,0.15,0.42,-45.26,0.01,-45.27
1071.25,39.047,449,5,-44.44,0.15,0.42,-44.86,0,-44.86
1083.25,40.003,458,5,-43.55,0.15,0.38,-43.93,-0.02,-43.91
1091.42,40.59,442,5,-44.41,0.15,0.35,-44.76,0.02,-44.79
1095.42,40.939,473,5,-43.95,0.15,0.39,-44.34,0.04,-44.38
1099.13,41.289,433,5,-45.08,0.15,0.41,-45.49,-0.03,-45.45
1103.27,41.585,425,5,-44.87,0.15,0.42,-45.29,-0.06,-45.23
1115.47,42.668,463,5,-44.94,0.15,0.39,-45.33,0.04,-45.36
1119.13,42.972,496,5,-44.92,0.15,0.4,-45.32,0.01,-45.32
1125.82,43.534,429,5,-45.38,0.15,0.39,-45.77,-0.07,-45.71
1127.22,43.636,413,5,-45.32,0.15,0.4,-45.72,-0.05,-45.67
1132.22,44.071,423,5,-45.46,0.15,0.4,-45.86,0.03,-45.89
1143.32,44.982,481,5,-46.42,0.15,0.39,-46.81,-0.01,-46.8
1151.17,45.562,499,5,-46.31,0.15,0.4,-46.71,0.02,-46.73
1155.27,45.852,532,5,-46.83,0.15,0.4,-47.23,0,-47.23
1157.72,46.043,518,5,-46.87,0.15,0.39,-47.26,0.01,-47.27
1167.32,46.727,509,5,-47.3,0.15,0.41,-47.71,-0.07,-47.64
1175.27,47.489,464,5,-46.42,0.15,0.38,-46.8,0.02,-46.82
1179.07,47.904,463,5,-46.37,0.15,0.36,-46.73,0,-46.73
1181.72,48.2,463,5,-45.86,0.15,0.34,-46.2,-0.03,-46.17
1187.15,48.92,428,5,-46.37,0.15,0.35,-46.72,0.03,-46.75
1191.37,49.496,480,5,-46.22,0.15,0.35,-46.57,0,-46.57
1197.82,50.283,463,5,-46.65,0.15,0.32,-46.97,0.04,-47.01
1199.06,50.448,489,5,-46.66,0.15,0.32,-46.98,0,-46.99
1211.05,52.016,539,5,-47.52,0.15,0.35,-47.87,0.01,-47.88
1221.82,53.419,558,5,-47.44,0.15,0.38,-47.82,-0.02,-47.8
1224.05,53.733,555,5,-47.2,0.15,0.37,-47.57,0,-47.57
1227.06,54.099,538,5,-46.29,0.15,0.37,-46.66,-0.06,-46.59
1239.32,55.886,519,5,-47.23,0.15,0.38,-47.61,-0.03,-47.58
1247.22,57.161,565,5,-46.52,0.15,0.38,-46.9,0.02,-46.92
1251.42,57.828,601,5,-46.15,0.15,0.38,-46.53,0,-46.53
1259.27,59.061,601,5,-45.63,0.15,0.39,-46.02,0.01,-46.02
1263.27,59.689,506,5,-47.62,0.15,0.39,-48.01,-0.07,-47.94
1271.27,61.149,446,5,-45.74,0.15,0.38,-46.12,-0.01,-46.11
1273.77,61.678,447,5,-45.59,0.15,0.37,-45.96,-0.01,-45.96
1275.17,61.966,471,5,-45.37,0.15,0.37,-45.74,0,-45.74
1283.12,63.923,457,5,-44.86,0.15,0.36,-45.22,0.01,-45.23
1287.32,65.109,447,5,-45.26,0.15,0.36,-45.62,-0.06,-45.56
1289.71,65.871,482,5,-45.54,0.15,0.36,-45.9,0.03,-45.93
1292,66.606,463,5,-45.21,0.15,0.36,-45.57,-0.01,-45.56
1293,66.975,465,5,-45.31,0.15,0.36,-45.67,0.01,-45.68
1294,67.376,469,5,-45.31,0.15,0.36,-45.67,-0.01,-45.66
1295.05,67.759,474,5,-45.38,0.15,0.36,-45.74,-0.02,-45.72
1295.17,67.806,469,5,-45.46,0.15,0.35,-45.81,-0.01,-45.8
1295.33,67.869,460,5,-45.55,0.15,0.35,-45.9,0,-45.89
1296,68.131,477,5,-45.69,0.15,0.36,-46.05,0.01,-46.06
1297.63,68.822,462,5,-45.6,0.15,0.36,-45.96,0,-45.96
1298,68.985,452,5,-46.13,0.15,0.36,-46.49,0,-46.49
1299.31,69.574,455,5,-46.4,0.15,0.34,-46.74,0.01,-46.75
1301,70.327,478,5,-46.76,0.15,0.35,-47.11,0.02,-47.13
1301.48,70.549,462,5,-47.14,0.15,0.35,-47.49,0,-47.49
1304,71.683,481,5,-48.39,0.15,0.36,-48.75,-0.01,-48.75
1305.58,72.313,505,5,-48.18,0.15,0.37,-48.55,-0.03,-48.52
1306,72.472,472,5,-49.03,0.15,0.37,-49.4,-0.04,-49.36
1307.45,73.073,437,5,-48.42,0.15,0.37,-48.79,0,-48.79
1307.57,73.127,446,5,-48.64,0.15,0.37,-49.01,0.01,-49.02
1308,73.319,442,5,-48.63,0.15,0.37,-49,0.02,-49.02
1309,73.739,473,5,-48.38,0.15,0.37,-48.75,0.01,-48.76
1310,74.206,442,5,-49.24,0.15,0.37,-49.61,-0.01,-49.61
1310.88,74.615,461,5,-49.2,0.15,0.38,-49.58,0,-49.58
1312,75.084,459,5,-49.45,0.15,0.38,-49.83,0.02,-49.84
1312.12,75.128,481,5,-49.34,0.15,0.38,-49.72,0.02,-49.73
1313.6,75.659,490,5,-49.28,0.15,0.38,-49.66,-0.01,-49.65
1314,75.797,495,5,-49.09,0.15,0.38,-49.47,-0.03,-49.44
1315.4,76.297,468,5,-49.16,0.15,0.37,-49.53,-0.03,-49.5
1316.88,76.897,430,5,-48.63,0.15,0.37,-49,0.02,-49.02
1317,76.949,431,5,-48.42,0.15,0.37,-48.79,0.02,-48.81
1318,77.396,441,5,-48.9,0.15,0.37,-49.27,0,-49.27
1320,78.254,451,5,-49.05,0.15,0.37,-49.42,-0.01,-49.41
1321.6,78.95,490,5,-49.08,0.15,0.37,-49.45,-0.01,-49.44
1322.76,79.471,509,5,-48.96,0.15,0.38,-49.34,0.02,-49.36
1323.4,79.753,522,5,-48.84,0.15,0.39,-49.23,0.03,-49.26
1324,80.014,535,5,-49.16,0.15,0.37,-49.53,0.02,-49.55
1325,80.46,542,5,-49.14,0.15,0.37,-49.51,0.01,-49.52
1325.12,80.512,539,5,-49.14,0.15,0.37,-49.51,0.01,-49.52
1327.76,81.644,575,5,-49.25,0.15,0.38,-49.63,0,-49.63
1327.88,81.695,580,5,-49.18,0.15,0.38,-49.56,0,-49.56
1329.75,82.511,633,5,-48.93,0.15,0.38,-49.31,0.01,-49.32
1330,82.62,629,5,-49,0.15,0.39,-49.39,0,-49.39
1331.5,83.297,626,5,-48.36,0.15,0.42,-48.78,0.02,-48.79
1332,83.523,650,5,-48.07,0.15,0.39,-48.46,0.01,-48.47
1333,83.944,572,5,-49.3,0.15,0.39,-49.69,-0.06,-49.63
1334,84.357,531,5,-48.95,0.15,0.39,-49.34,-0.08,-49.26
1335,84.818,472,5,-48.19,0.15,0.38,-48.57,-0.02,-48.55
1335.88,85.235,466,5,-48.03,0.15,0.38,-48.41,-0.01,-48.4
1337.75,86.13,452,5,-47.48,0.15,0.38,-47.86,0.01,-47.86
1338,86.252,449,5,-47.54,0.15,0.38,-47.92,-0.02,-47.9
1339.4,86.97,447,5,-47.6,0.15,0.37,-47.97,0.03,-48.01
1340,87.299,454,5,-47.51,0.15,0.37,-47.88,-0.02,-47.86
